2026-04-16 18:12:23,525 | INFO | streamlit |  Initializing system...
2026-04-16 18:12:25,085 | INFO | streamlit | FAISS loaded: True
2026-04-16 18:12:25,085 | INFO | backend.src.pipeline.ingestion_pipeline | No graph found
2026-04-16 18:12:25,085 | INFO | streamlit | First-time ingestion...
2026-04-16 18:12:25,086 | INFO | backend.src.document_ingestion.document_processor | Call parserRouter to load memory file parser_memory.json which store pypdf value
2026-04-16 18:12:25,086 | INFO | backend.src.document_ingestion.document_processor | ParserRouter initialized. Call internally _load to load file parser_router.json 
2026-04-16 18:12:25,087 | INFO | backend.src.document_ingestion.document_processor | CacheManager initialized. Call internally _load to load file doc_cache.json which store pypdf value 
2026-04-16 18:12:25,087 | INFO | backend.src.document_ingestion.document_processor | Loading documents from: D:\OneDriveData\Learnings\Final_Projects\rag-document-search\data
2026-04-16 18:12:25,088 | INFO | backend.src.document_ingestion.document_processor | 
 Processing: {file_path}
2026-04-16 18:12:25,092 | INFO | backend.src.document_ingestion.document_processor | Cache check for D:\OneDriveData\Learnings\Final_Projects\rag-document-search\data\Construction_Manual.pdf: HIT
2026-04-16 18:12:25,092 | INFO | backend.src.document_ingestion.document_processor | Using cached parser: pypdf
2026-04-16 18:12:27,006 | INFO | backend.src.document_ingestion.document_processor | Cached parser pypdf returned 208 docs for file D:\OneDriveData\Learnings\Final_Projects\rag-document-search\data\Construction_Manual.pdf 
2026-04-16 18:12:27,006 | INFO | backend.src.document_ingestion.document_processor | 
 Processing: {file_path}
2026-04-16 18:12:27,022 | INFO | backend.src.document_ingestion.document_processor | Cache check for D:\OneDriveData\Learnings\Final_Projects\rag-document-search\data\Highway Engineering Handbook 3rd Editionbb.pdf: HIT
2026-04-16 18:12:27,022 | INFO | backend.src.document_ingestion.document_processor | Using cached parser: pypdf
2026-04-16 18:12:41,015 | INFO | backend.src.document_ingestion.document_processor | Cached parser pypdf returned 889 docs for file D:\OneDriveData\Learnings\Final_Projects\rag-document-search\data\Highway Engineering Handbook 3rd Editionbb.pdf 
2026-04-16 18:12:41,015 | INFO | backend.src.document_ingestion.document_processor | 
 Total documents loaded: 1097
2026-04-16 18:12:41,166 | INFO | backend.src.document_ingestion.document_processor | Total chunks: 2135
2026-04-16 18:12:41,166 | INFO | streamlit | Initial chunks: 2135
2026-04-16 18:12:41,166 | INFO | backend.src.pipeline.ingestion_pipeline | Total input chunks: {len(chunks)}
2026-04-16 18:12:41,166 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 0 → 50
2026-04-16 18:12:41,167 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:12:41,170 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 30
2026-04-16 18:12:43,515 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 50 → 100
2026-04-16 18:12:43,516 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:12:43,520 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 35
2026-04-16 18:12:44,145 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 100 → 150
2026-04-16 18:12:44,146 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:12:44,150 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 41
2026-04-16 18:12:44,623 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 150 → 200
2026-04-16 18:12:44,624 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:12:44,627 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 30
2026-04-16 18:12:45,974 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 200 → 250
2026-04-16 18:12:45,975 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:12:45,980 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 34
2026-04-16 18:12:47,111 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 250 → 300
2026-04-16 18:12:47,112 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:12:47,117 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 46
2026-04-16 18:12:47,828 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 300 → 350
2026-04-16 18:12:47,829 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:12:47,833 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 46
2026-04-16 18:12:48,677 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 350 → 400
2026-04-16 18:12:48,678 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:12:48,682 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 45
2026-04-16 18:12:49,189 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 400 → 450
2026-04-16 18:12:49,190 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
